"category","month","year","date","count"
"Accessible","Jan",2013,Jan 2013,1
"Accessible","Jan",2014,Jan 2014,25
"Accessible","Jan",2015,Jan 2015,75
"Accessible","Jan",2016,Jan 2016,6
"Accessible","Jan",2017,Jan 2017,54
"Accessible","Jan",2018,Jan 2018,102
"Accessible","Jan",2019,Jan 2019,1
"Accessible","Feb",2014,Feb 2014,50
"Accessible","Feb",2015,Feb 2015,51
"Accessible","Feb",2016,Feb 2016,13
"Accessible","Feb",2017,Feb 2017,78
"Accessible","Feb",2018,Feb 2018,90
"Accessible","Feb",2019,Feb 2019,1
"Accessible","Mar",2013,Mar 2013,1
"Accessible","Mar",2014,Mar 2014,74
"Accessible","Mar",2015,Mar 2015,51
"Accessible","Mar",2016,Mar 2016,14
"Accessible","Mar",2017,Mar 2017,77
"Accessible","Mar",2018,Mar 2018,150
"Accessible","Mar",2019,Mar 2019,1
"Accessible","Apr",2014,Apr 2014,89
"Accessible","Apr",2015,Apr 2015,58
"Accessible","Apr",2016,Apr 2016,32
"Accessible","Apr",2017,Apr 2017,84
"Accessible","Apr",2018,Apr 2018,136
"Accessible","May",2013,May 2013,5
"Accessible","May",2014,May 2014,77
"Accessible","May",2015,May 2015,74
"Accessible","May",2016,May 2016,105
"Accessible","May",2017,May 2017,112
"Accessible","May",2018,May 2018,165
"Accessible","Jun",2013,Jun 2013,5
"Accessible","Jun",2014,Jun 2014,55
"Accessible","Jun",2015,Jun 2015,100
"Accessible","Jun",2016,Jun 2016,173
"Accessible","Jun",2017,Jun 2017,173
"Accessible","Jun",2018,Jun 2018,287
"Accessible","Jul",2013,Jul 2013,2
"Accessible","Jul",2014,Jul 2014,71
"Accessible","Jul",2015,Jul 2015,163
"Accessible","Jul",2016,Jul 2016,210
"Accessible","Jul",2017,Jul 2017,271
"Accessible","Jul",2018,Jul 2018,287
"Accessible","Aug",2013,Aug 2013,2
"Accessible","Aug",2014,Aug 2014,83
"Accessible","Aug",2015,Aug 2015,115
"Accessible","Aug",2016,Aug 2016,230
"Accessible","Aug",2017,Aug 2017,336
"Accessible","Aug",2018,Aug 2018,328
"Accessible","Sep",2013,Sep 2013,5
"Accessible","Sep",2014,Sep 2014,54
"Accessible","Sep",2015,Sep 2015,38
"Accessible","Sep",2016,Sep 2016,131
"Accessible","Sep",2017,Sep 2017,169
"Accessible","Sep",2018,Sep 2018,245
"Accessible","Oct",2013,Oct 2013,1
"Accessible","Oct",2014,Oct 2014,79
"Accessible","Oct",2015,Oct 2015,27
"Accessible","Oct",2016,Oct 2016,59
"Accessible","Oct",2017,Oct 2017,143
"Accessible","Oct",2018,Oct 2018,272
"Accessible","Nov",2013,Nov 2013,1
"Accessible","Nov",2014,Nov 2014,83
"Accessible","Nov",2015,Nov 2015,11
"Accessible","Nov",2016,Nov 2016,52
"Accessible","Nov",2017,Nov 2017,117
"Accessible","Nov",2018,Nov 2018,156
"Accessible","Dec",2014,Dec 2014,72
"Accessible","Dec",2015,Dec 2015,12
"Accessible","Dec",2016,Dec 2016,43
"Accessible","Dec",2017,Dec 2017,77
"Accessible","Dec",2018,Dec 2018,63
"Accessible",NA,NA,NA,3250
"Anchor Parks","Jan",2017,Jan 2017,3
"Anchor Parks","Feb",2017,Feb 2017,2
"Anchor Parks","Apr",2017,Apr 2017,1
"Anchor Parks","May",2017,May 2017,1
"Anchor Parks","Nov",2016,Nov 2016,5
"Anchor Parks",NA,NA,NA,1
"Art","Jan",2013,Jan 2013,94
"Art","Jan",2014,Jan 2014,149
"Art","Jan",2015,Jan 2015,139
"Art","Jan",2016,Jan 2016,95
"Art","Jan",2017,Jan 2017,129
"Art","Jan",2018,Jan 2018,102
"Art","Jan",2019,Jan 2019,26
"Art","Feb",2013,Feb 2013,93
"Art","Feb",2014,Feb 2014,108
"Art","Feb",2015,Feb 2015,136
"Art","Feb",2016,Feb 2016,112
"Art","Feb",2017,Feb 2017,103
"Art","Feb",2018,Feb 2018,181
"Art","Feb",2019,Feb 2019,19
"Art","Mar",2013,Mar 2013,217
"Art","Mar",2014,Mar 2014,128
"Art","Mar",2015,Mar 2015,184
"Art","Mar",2016,Mar 2016,111
"Art","Mar",2017,Mar 2017,149
"Art","Mar",2018,Mar 2018,112
"Art","Mar",2019,Mar 2019,19
"Art","Apr",2013,Apr 2013,164
"Art","Apr",2014,Apr 2014,113
"Art","Apr",2015,Apr 2015,127
"Art","Apr",2016,Apr 2016,153
"Art","Apr",2017,Apr 2017,144
"Art","Apr",2018,Apr 2018,108
"Art","Apr",2019,Apr 2019,15
"Art","May",2013,May 2013,186
"Art","May",2014,May 2014,138
"Art","May",2015,May 2015,198
"Art","May",2016,May 2016,213
"Art","May",2017,May 2017,148
